lad_code,council,ward,party,candidate,votes,source
E08000001,Bolton,Astley Bridge,Reform,BAILEY Ryan,1635,www.bolton.gov.uk
E08000001,Bolton,Bradshaw,Conservative,WEBB Les,1801,www.bolton.gov.uk
E08000001,Bolton,Breightmet,Reform,TUCKER Mike,1890,www.bolton.gov.uk
E08000001,Bolton,Bromley Cross,Conservative,CADDEN Charlotte Anne,1794,www.bolton.gov.uk
E08000001,Bolton,Farnworth North,Labour,AYUB Nadeem,1131,www.bolton.gov.uk
E08000001,Bolton,Farnworth South,Reform,PATTISON Julie,1220,www.bolton.gov.uk
E08000001,Bolton,Great Lever,Labour,IQBAL Mohammed,1918,www.bolton.gov.uk
E08000001,Bolton,Halliwell,Green,KHAN Baggy,1752,www.bolton.gov.uk
E08000001,Bolton,"Heaton, Lostock & Chew Moor",Conservative,GALLOWAY Anne Barbara,2112,www.bolton.gov.uk
E08000001,Bolton,Horwich North,Independent,FINNEY Andrea Jane,1905,www.bolton.gov.uk
E08000001,Bolton,Horwich South & Blackrod,Independent,WRIGHT Peter,1775,www.bolton.gov.uk
E08000001,Bolton,Hulton,Reform,BULLOCK Derek,1939,www.bolton.gov.uk
E08000001,Bolton,Kearsley,Reform,PEDLEY Roger,1564,www.bolton.gov.uk
E08000001,Bolton,Little Lever & Darcy Lever,Reform,WUNDERLEY Derek,2040,www.bolton.gov.uk
E08000001,Bolton,Queens Park & Central,Green,ARIF Zan,1090,www.bolton.gov.uk
E08000001,Bolton,Rumworth,Green,IBRAHIM Ismail,2346,www.bolton.gov.uk
E08000001,Bolton,Smithills,LibDem,PRIEST Sue,1713,www.bolton.gov.uk
E08000001,Bolton,Tonge with the Haulgh,Reform,JONES Trevor,2089,www.bolton.gov.uk
E08000001,Bolton,Westhoughton North & Hunger Hill,Reform,LEWIS David,1781,www.bolton.gov.uk
E08000001,Bolton,Westhoughton South,Reform,CLARKE Glen,1644,www.bolton.gov.uk
E08000003,Manchester,Ancoats & Beswick,Green,"SALEM, Hussayn",1776,www.manchester.gov.uk
E08000003,Manchester,Ardwick,Green,"IMRAN, Alex-Salik",1607,www.manchester.gov.uk
E08000003,Manchester,Baguley,Reform,"ASTLEY, Sian",1329,www.manchester.gov.uk
E08000003,Manchester,Brooklands,Reform,"HODGKISS, Steven John",1198,www.manchester.gov.uk
